,Simple_LSTM_5_steps_5_year,Simple_LSTM_8_steps_5_year,Simple_LSTM_11_steps_5_year,Bidirectional_5_steps_5_year,Bidirectional_8_steps_5_year,Bidirectional_11_steps_5_year
0,0.717288884,0.718880718,0.712802709,0.711439632,0.709450994,0.718016767
1,1.425059507,1.417824829,1.382023689,1.399996273,1.413126949,1.406727808
2,2.105728448,2.111992449,2.086330158,2.075967909,2.149733971,2.128242646
3,2.834547827,2.814719579,2.787886437,2.777283921,2.88795042,2.881682106
4,3.662286728,3.779859357,3.619440569,3.603566597,3.764594861,3.707688997
5,1.089230075,1.129154239,1.094742588,1.089733493,1.09568753,1.109880926
6,2.149372754,2.237894731,2.161848667,2.141578451,2.171433245,2.200975894
7,3.197149759,3.342183015,3.233085066,3.177821181,3.245474138,3.310723605
8,4.301724063,4.511649064,4.36710084,4.271187501,4.388402827,4.486956341
9,5.480806597,5.763967234,5.562156059,5.432602717,5.604844989,5.721374608
10,0.338655056,0.338655056,0.338655056,0.338655056,0.338655056,0.338655056
11,1.838413159,1.98355104,1.98355104,1.838413159,1.935171746,1.886792453
12,4.35413643,4.35413643,4.450895017,4.499274311,4.35413643,4.450895017
13,7.934204161,7.934204161,7.982583454,7.78906628,8.272859216,8.127721335
14,12.14320271,12.33671988,12.28834059,11.99806483,12.48185776,12.43347847
15,0.096758587,0.193517175,0.193517175,0.145137881,0.145137881,0.193517175
16,0.290275762,0.338655056,0.387034349,0.290275762,0.338655056,0.387034349
17,1.112723754,1.402999516,1.402999516,1.064344461,1.306240929,1.306240929
18,2.031930334,2.080309627,2.225447508,2.031930334,2.225447508,2.128688921
19,3.096274794,3.193033382,3.241412675,3.144654088,3.289791969,3.338171263
